sample_id,nacl_mass_g,volume_ml,concentration_g_L,temperature_C,commercial_ec_uS_cm,adj_ratio,trial,predicted_ec_uS_cm,error_uS_cm,percent_error
B1,0.0,500,0.0,20.0,1.39,0.05,1.0,1.4546706056961611,0.06467060569616123,4.65256156087491
B2,0.005,500,0.01,20.0,23.83,0.46,1.0,21.508539027518523,-2.321460972481475,-9.741758172393936
B3,0.015,500,0.03,20.0,61.9,1.18,1.0,60.97726900969048,-0.9227309903095176,-1.4906801135856504
B4,0.05,500,0.1,20.0,206.4,3.81,1.0,204.93064627278312,-1.469353727216884,-0.7118961856670949
B5,0.15,500,0.3,20.0,575.0,11.4,1.0,584.9162503114212,9.916250311421209,1.7245652715515143
B6,0.5,500,1.0,20.0,1206.0,39.0,1.0,1721.6752668640552,515.6752668640552,42.759143189390976
B7,1.5,500,3.0,20.0,6180.0,123.0,1.0,4299.384785982197,-1880.6152140178028,-30.430666893491953
B8,5.0,500,10.0,20.0,15840.0,900.0,1.0,16970.56462595188,1130.5646259518799,7.137402941615403
